interview__id,interview__key.x,membres__id,lien_parente,genre,age,sit_matrimoniale,present_enquete,consentement_ind,niv_etudes,interview__key.y,region,departement,commune,milieu,dr,grappe,num_menage,taille_menage,actif_occupe,secteur_isic_p,statut_emploi_p,nb_employes,revenu_p_mensuel_est,tranche_revenu,a_revenu_secondaire,a_activite_secondaire,secteur_isic_s,a_compte_banque,a_compte_banque_etro,intention_ouvrir_cte,nb_comptes_banque,solde_total_banque,montant_depot_banque,a_compte_imf,nb_comptes_imf,solde_total_imf,montant_depot_imf,a_compte_mobile,mobile_actif,multi_eme,mobile_fait_transactions,nb_comptes_mobile,epargne_oui,epargne_banque,epargne_imf,epargne_mobile,epargne_maison,epargne_tontine,epargne_cte_courant,epargne_cte_vue,epargne_cte_bloque,epargne_cte_special,a_investi_epargne,freq_epargne_tontine,montant_epargne_tontine,a_demande_credit,credit_banque,credit_imf,credit_tontine,credit_famille,montant_credit,usage_credit_invest,usage_credit_conso,a_assurance,ass_sante,ass_vie,ass_habitation,ass_agricole,ass_automobile,prime_assurance,nb_types_assurance,recoit_pension,cotise_retraite,a_compte_poste,score_incl_fin,flag_enfant_marie,flag_revenu_sans_emploi,flag_revenu_extreme
fc5a812c22484a5e8a0bfe951f19259e,07-28-16-80,1,Chef de ménage,Féminin,66,Inconnu,1,1,Préscolaire,07-28-16-80,Fatick,91,9120202,Rural,091202020011,3,1,4,0,,,,,,0,,,0,0,0,,,,0,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
fc5a812c22484a5e8a0bfe951f19259e,07-28-16-80,2,"Fils, Fille",Masculin,27,Inconnu,1,0,Inconnu,07-28-16-80,Fatick,91,9120202,Rural,091202020011,3,1,4,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
fc5a812c22484a5e8a0bfe951f19259e,07-28-16-80,3,"Fils, Fille",Masculin,23,Inconnu,0,,Inconnu,07-28-16-80,Fatick,91,9120202,Rural,091202020011,3,1,4,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
fc5a812c22484a5e8a0bfe951f19259e,07-28-16-80,4,Personne non apparentée au CM/Conjoint,Féminin,10,Inconnu,1,0,Inconnu,07-28-16-80,Fatick,91,9120202,Rural,091202020011,3,1,4,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,1,Chef de ménage,Masculin,71,Célibataire,1,1,Préscolaire,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,0,,,,,,0,,,0,0,0,,,,0,,,,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,1,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,2,Autres Parents du CM/Conjoint,Masculin,61,Célibataire,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,3,"Fils, Fille",Masculin,20,Inconnu,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,4,Neveu/niece,Masculin,36,Célibataire,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,5,Neveu/niece,Masculin,18,Inconnu,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,6,Neveu/niece,Féminin,6,Inconnu,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
